,address,mapx,mapy,name
2500,경상북도 김천시 지례면 교리 563-1,402737,376140,경상북도 김천시 지례어린이집
2501,경상남도 김해시 대청동 298-10,473001,288193,경상남도 김해시 통계청 김해사무소
2502,경기도 오산시 벌음동 243-1,315274,504707,경기도 오산시 초평동 행정복지센터
2503,인천광역시 강화군 강화읍 남산리 200-1,266891,571882,인천광역시 강화군 인천 강화소방서
2504,울산광역시 울주군 상북면 덕현리 556-1,495782,337436,울산광역시 울주군 상북 삽재 경로당
2505,경기도 안성시 공도읍 진사리 353-17,324243,488237,경기도 안성시 안성시 국공립 진사어린이집
2506,전라북도 순창군 순창읍 남계리 278,322450,309156,전라북도 순창군 국립농산물품질관리원 전북지원 순창사무소
2507,전라북도 전주시 완산구 삼천동1가 177-5,320768,355912,전라북도 전주시 전주완산경찰서 삼천지구대
2508,,,,경상북도 경주시 경주시 지방정원 조성사업 가든센터
2509,,,,"제주특별자치도 제주시 제주시 한림리 1198-3, 4번지 공영주차장"
2510,,,,경기도 화성시 (가칭)동탄 16유치원
2511,경기도 김포시 월곶면 군하리 188-11,272601,569070,경기도 김포시 통진읍 행정복합청사
2512,,,,경기도 안산시 (가칭)안산1중학교
2513,,,,경상남도 창원시 북면지역 공공도서관
2514,,,,경기도 용인시 (가칭)남사고등학교 및 복합화시설
2515,,,,전라북도 장수군 장수군 대덕마을 창조적마을만들기사업
2516,경상북도 포항시 북구 흥해읍 성곡리 1432,520751,387824,경상북도 포항시 포항시 농업인교육복지관
2517,충청북도 청주시 청원구 오창읍 양청리 810-13,350004,456991,충청북도 청주시 청주지식산업센터
2518,,,,경상남도 사천시 수산기술사업소
2519,충청북도 제천시 송학면 도화리 967-3,418417,509811,충청북도 제천시 제천 청소년 수련관
2520,,,,강원도 양구군 DMZ 친환경 경제순환센터
2521,,,,경기도 남양주시 남양주시 청년창업복합단지 조성사업
2522,,,,경기도 용인시 용인도시계획시설(체육공원 63호)내 공중화장실
2523,서울특별시 광진구 자양동 594,318712,547843,서울특별시 광진구 자양문화체육센터
2524,강원도 원주시 행구동  346,401371,528360,강원도 원주시 원주얼 교육관
2525,전라남도 완도군 금당면 육산리 201,313853,205166,전라남도 완도군 완도군 다목적 실내체육관
2526,,,,경상북도 문경시 영순면 분회경로당
2527,인천광역시 남동구 구월동 1121-13,284770,539443,인천광역시 남동구 남동경찰서 구월지구대
2528,경기도 평택시 칠원동 588,320566,491868,경기도 평택시 평택새빛초등학교
2529,서울특별시 양천구 신월동 953-6,297117,547167,서울특별시 양천구 구립 해맞이 어린이집
2530,울산광역시 북구 호계동 1021-1,523828,337759,울산광역시 북구 공공산후조리원
2531,,,,제주특별자치도 제주시 와산리 마을복지회관
2532,,,,경상북도 영주시 영주시 농어촌 놀이터
2533,경상북도 의성군 비안면 이두리 230-1,444591,415371,경상북도 의성군 비안면 이두2리 경로당
2534,경상북도 의성군 옥산면 구성리 444-5,472832,421695,경상북도 의성군 옥산면 구성1리 경로당
2535,,,,경상북도 영양군 서부3리 경로당
2536,서울특별시 관악구 남현동 1063-1,309917,542007,서울특별시 관악구 남현소공원 지하주차장
2537,,,,제주특별자치도 제주시 제주시 일도2동 82-8 공영주차장
2538,,,,경상남도 의령군 화정면 상정리 공중화장실
2539,,,,서울특별시 영등포구 신길14구역 내 지구대청사 신축공사
2540,,,,전라남도 영광군 법성뉴타운 공용주차장 화장실
2541,경기도 이천시 중리동 382,349938,519266,경기도 이천시 이천시 차량등록사업소
2542,,,,경기도 남양주시 의정부지방검찰청 남양주지청 신축 설계용역
2543,,,,경상남도 양산시 강서유치원 및 양산도서관
2544,전라남도 여수시 남면 유송리 155-1,378695,214812,전라남도 여수시 다도해해상국립공원 금오도분소
2545,,,,전라남도 완도군 완도소방서 신축 기본 및 실시설계 용역
2546,전라남도 순천시 연향동 225-2,356467,260372,전라남도 순천시 순천팔마국민체육센터
2547,강원도 홍천군 홍천읍 희망리 350,389364,565328,강원도 홍천군 홍천군 치매안심센터
2548,,,,인천광역시 부평구 부평고교주변 주민공동이용시설(해바라기마을)
2549,경상북도 문경시 농암면 농암리 217-3,400528,444432,경상북도 문경시 농암면 농업인상담소
2550,서울특별시 중랑구 신내동  283-1,320854,557679,서울특별시 중랑구 중랑구 새우개하나어린이집
2551,경기도 부천시 역곡동 산35-11,294371,543592,경기도 부천시 부천 시립 역곡 도서관
2552,,,,전라남도 순천시 수출형 기계부품가공 공장
2553,,,,경상북도 영덕군 영덕군 병곡면 스포츠센터
2554,,,,충청남도 계룡시 계룡 향적산 치유의 숲(치유센터)
2555,,,,전라북도 순창군 섬진강문화예술 다님길(섬진강미술촌)
2556,,,,경상남도 함양군 내동마을 공동화장실
2557,경상남도 하동군 화개면 탑리 546-2,366289,288388,경상남도 하동군 화개보건지소
2558,,,,울산광역시 남구 수동경로당
2559,,,,강원도 홍천군 수타사지구 상가 앞 주차장 화장실
2560,세종특별자치시  보람동  626-5,336492,431258,세종특별자치시  정부세종 신청사
2561,전라북도 익산시 금마면 서고도리 654,314558,377485,전라북도 익산시 동부건강생활지원센터
2562,,,,강원도 홍천군 남노일리 경로당
2563,경상남도 거제시 양정동 90-2,459723,252735,경상남도 거제시 양정초등학교
2564,,,,인천광역시 연수구 (가칭)송도5유치원
2565,,,,경기도 시흥시 (가칭)장현4초등학교
2566,,,,경상남도 남해군 남해 보물섬고등학교
2567,,,,강원도 인제군 인제군 들꽃마을 방문자쉼터(공중화장실)
2568,,,,강원도 인제군 인제라이딩센터
2569,,,,경상북도 울진군 흥부생활체육공원 국궁장
2570,인천광역시 부평구 부개동 134-9,288464,544287,인천광역시 부평구 부개2동 하나어린이집
2571,,,,충청남도 당진시 시민봉사지원센터 및 장애인회관
2572,경기도 성남시 수정구 태평동 3309,324028,538465,경기도 성남시 성남시 의료원
2573,,,,전라북도 전주시 가칭) 전주 양현유치원 신축공사
2574,경상남도 밀양시 삼문동 184-11,468687,321099,경상남도 밀양시 밀양문화원
